Species,Depth,season,unique,growth_month
mussel,deep,winter,musseldeepwinter,3.323529412
mussel,shallow,winter,musselshallowwinter,3.235294118
mussel,shallow,winter,musselshallowwinter,3.147058824
mussel,shallow,spring,musselshallowspring,3.138248848
scallop,shallow,spring,scallopshallowspring,3.013824885
scallop,shallow,spring,scallopshallowspring,2.930875576
scallop,shallow,winter,scallopshallowwinter,2.823529412
scallop,shallow,winter,scallopshallowwinter,2.794117647
scallop,shallow,spring,scallopshallowspring,2.778801843
mussel,shallow,spring,musselshallowspring,2.695852535
mussel,shallow,spring,musselshallowspring,2.557603687
mussel,shallow,spring,musselshallowspring,2.529953917
mussel,shallow,winter,musselshallowwinter,2.529411765
mussel,shallow,spring,musselshallowspring,2.516129032
scallop,shallow,spring,scallopshallowspring,2.502304147
scallop,shallow,spring,scallopshallowspring,2.447004608
mussel,shallow,winter,musselshallowwinter,2.441176471
scallop,shallow,winter,scallopshallowwinter,2.411764706
scallop,shallow,spring,scallopshallowspring,2.391705069
scallop,shallow,winter,scallopshallowwinter,2.382352941
mussel,shallow,winter,musselshallowwinter,2.352941176
mussel,shallow,spring,musselshallowspring,2.350230415
scallop,shallow,winter,scallopshallowwinter,2.323529412
scallop,shallow,spring,scallopshallowspring,2.322580645
mussel,shallow,spring,musselshallowspring,2.294930876
mussel,shallow,winter,musselshallowwinter,2.294117647
mussel,shallow,spring,musselshallowspring,2.281105991
mussel,shallow,winter,musselshallowwinter,2.264705882
scallop,shallow,spring,scallopshallowspring,2.239631336
scallop,shallow,winter,scallopshallowwinter,2.205882353
mussel,shallow,spring,musselshallowspring,2.184331797
scallop,shallow,winter,scallopshallowwinter,2.176470588
mussel,shallow,spring,musselshallowspring,2.170506912
mussel,shallow,spring,musselshallowspring,2.170506912
scallop,shallow,spring,scallopshallowspring,2.156682028
scallop,shallow,winter,scallopshallowwinter,2.147058824
mussel,shallow,spring,musselshallowspring,2.129032258
mussel,shallow,winter,musselshallowwinter,2.117647059
scallop,shallow,spring,scallopshallowspring,2.115207373
mussel,shallow,spring,musselshallowspring,2.101382488
scallop,shallow,spring,scallopshallowspring,2.087557604
scallop,shallow,spring,scallopshallowspring,2.073732719
scallop,shallow,winter,scallopshallowwinter,2.058823529
scallop,shallow,winter,scallopshallowwinter,2.029411765
mussel,shallow,spring,musselshallowspring,2.004608295
mussel,shallow,spring,musselshallowspring,2.004608295
scallop,shallow,winter,scallopshallowwinter,2
mussel,shallow,winter,musselshallowwinter,2
mussel,shallow,spring,musselshallowspring,1.99078341
mussel,shallow,spring,musselshallowspring,1.99078341
mussel,shallow,spring,musselshallowspring,1.976958525
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,spring,musselshallowspring,1.963133641
scallop,shallow,spring,scallopshallowspring,1.949308756
mussel,shallow,spring,musselshallowspring,1.949308756
scallop,shallow,winter,scallopshallowwinter,1.941176471
scallop,shallow,winter,scallopshallowwinter,1.941176471
scallop,shallow,winter,scallopshallowwinter,1.941176471
mussel,shallow,winter,musselshallowwinter,1.941176471
mussel,shallow,spring,musselshallowspring,1.935483871
mussel,shallow,spring,musselshallowspring,1.921658986
